,APXPrice,APXVolume,N2EXPrice,N2EXVolume,settlementDate,settlementPeriod
2016010425,33.53,849.950,0.00,0.000,2016-01-04,25
2016010426,33.03,817.850,0.00,0.000,2016-01-04,26
2016010427,33.23,847.600,0.00,0.000,2016-01-04,27
2016010428,32.64,983.250,0.00,0.000,2016-01-04,28
2016010429,32.92,987.600,0.00,0.000,2016-01-04,29
2016010430,32.59,1060.950,0.00,0.000,2016-01-04,30
2016010431,39.33,1575.350,0.00,0.000,2016-01-04,31
2016010432,39.86,1464.400,0.00,0.000,2016-01-04,32
2016010433,40.00,1517.400,0.00,0.000,2016-01-04,33
2016010434,43.11,1567.950,0.00,0.000,2016-01-04,34
2016010435,45.98,1343.250,0.00,0.000,2016-01-04,35
2016010436,43.25,1595.600,0.00,0.000,2016-01-04,36
2016010437,42.68,1547.150,0.00,0.000,2016-01-04,37
2016010438,41.17,1870.300,0.00,0.000,2016-01-04,38
2016010439,35.39,1577.750,0.00,0.000,2016-01-04,39
2016010440,35.95,1412.800,0.00,0.000,2016-01-04,40
2016010441,35.81,1146.400,0.00,0.000,2016-01-04,41
2016010442,36.36,1360.800,0.00,0.000,2016-01-04,42
2016010443,33.32,1111.100,0.00,0.000,2016-01-04,43
2016010444,31.76,1043.050,0.00,0.000,2016-01-04,44
2016010445,31.15,1273.950,0.00,0.000,2016-01-04,45
2016010446,30.53,2080.300,0.00,0.000,2016-01-04,46
2016010447,31.02,489.550,0.00,0.000,2016-01-04,47
2016010448,28.40,458.650,0.00,0.000,2016-01-04,48
2016010501,28.85,479.800,0.00,0.000,2016-01-05,1
2016010502,30.31,390.700,0.00,0.000,2016-01-05,2
2016010503,35.21,534.500,0.00,0.000,2016-01-05,3
2016010504,32.85,584.100,0.00,0.000,2016-01-05,4
2016010505,31.69,545.900,0.00,0.000,2016-01-05,5
2016010506,32.06,578.500,0.00,0.000,2016-01-05,6
2016010507,30.98,372.400,0.00,0.000,2016-01-05,7
2016010508,30.32,347.500,0.00,0.000,2016-01-05,8
2016010509,29.44,324.500,0.00,0.000,2016-01-05,9
2016010510,29.99,294.900,0.00,0.000,2016-01-05,10
2016010511,33.40,441.000,0.00,0.000,2016-01-05,11
2016010512,28.93,181.900,0.00,0.000,2016-01-05,12
2016010513,29.08,649.150,0.00,0.000,2016-01-05,13
2016010514,31.57,1145.900,0.00,0.000,2016-01-05,14
2016010515,35.58,560.450,0.00,0.000,2016-01-05,15
2016010516,35.86,716.550,0.00,0.000,2016-01-05,16
2016010517,36.02,447.550,0.00,0.000,2016-01-05,17
2016010518,35.27,428.800,0.00,0.000,2016-01-05,18
2016010519,36.77,491.600,0.00,0.000,2016-01-05,19
2016010520,36.42,529.500,0.00,0.000,2016-01-05,20
2016010521,36.98,567.600,0.00,0.000,2016-01-05,21
2016010522,37.03,579.800,0.00,0.000,2016-01-05,22
2016010523,38.41,693.650,0.00,0.000,2016-01-05,23
2016010524,38.25,669.900,0.00,0.000,2016-01-05,24
2016010525,38.10,562.800,0.00,0.000,2016-01-05,25
2016010526,38.35,671.000,0.00,0.000,2016-01-05,26
2016010527,37.55,737.800,0.00,0.000,2016-01-05,27
2016010528,37.72,769.700,0.00,0.000,2016-01-05,28
2016010529,37.85,753.050,0.00,0.000,2016-01-05,29
2016010530,37.39,761.550,0.00,0.000,2016-01-05,30
2016010531,38.85,1518.600,0.00,0.000,2016-01-05,31
2016010532,40.01,1337.300,0.00,0.000,2016-01-05,32
2016010533,43.65,1145.150,0.00,0.000,2016-01-05,33
2016010534,49.10,1135.400,0.00,0.000,2016-01-05,34
2016010535,51.71,969.450,0.00,0.000,2016-01-05,35
2016010536,51.09,990.650,0.00,0.000,2016-01-05,36
2016010537,51.56,1025.450,0.00,0.000,2016-01-05,37
2016010538,49.12,987.050,0.00,0.000,2016-01-05,38
2016010539,44.77,1557.700,0.00,0.000,2016-01-05,39
2016010540,42.13,1291.850,0.00,0.000,2016-01-05,40
2016010541,42.06,1041.750,0.00,0.000,2016-01-05,41
2016010542,40.44,1151.550,0.00,0.000,2016-01-05,42
2016010543,35.24,1023.050,0.00,0.000,2016-01-05,43
2016010544,35.94,1308.150,0.00,0.000,2016-01-05,44
2016010545,34.47,1034.150,0.00,0.000,2016-01-05,45
2016010546,32.36,1138.700,0.00,0.000,2016-01-05,46
2016010547,32.48,600.300,0.00,0.000,2016-01-05,47
2016010548,31.05,461.550,0.00,0.000,2016-01-05,48
2016010601,30.52,549.800,0.00,0.000,2016-01-06,1
2016010602,35.43,866.650,0.00,0.000,2016-01-06,2
2016010603,33.77,388.200,0.00,0.000,2016-01-06,3
2016010604,32.73,349.250,0.00,0.000,2016-01-06,4
2016010605,31.53,384.200,0.00,0.000,2016-01-06,5
2016010606,32.51,382.950,0.00,0.000,2016-01-06,6
2016010607,32.68,544.900,0.00,0.000,2016-01-06,7
2016010608,32.24,497.200,0.00,0.000,2016-01-06,8
2016010609,32.04,514.000,0.00,0.000,2016-01-06,9
2016010610,30.97,482.800,0.00,0.000,2016-01-06,10
2016010611,31.98,636.600,0.00,0.000,2016-01-06,11
2016010612,32.10,486.150,0.00,0.000,2016-01-06,12
2016010613,32.85,692.000,0.00,0.000,2016-01-06,13
2016010614,34.76,945.400,0.00,0.000,2016-01-06,14
2016010615,37.66,461.900,0.00,0.000,2016-01-06,15
2016010616,38.61,381.650,0.00,0.000,2016-01-06,16
2016010617,38.11,350.250,0.00,0.000,2016-01-06,17
2016010618,38.58,423.800,0.00,0.000,2016-01-06,18
2016010619,42.41,399.650,0.00,0.000,2016-01-06,19
2016010620,43.29,546.100,0.00,0.000,2016-01-06,20
2016010621,45.51,622.350,0.00,0.000,2016-01-06,21
2016010622,45.54,659.050,0.00,0.000,2016-01-06,22
2016010623,41.37,888.350,0.00,0.000,2016-01-06,23
2016010624,40.52,910.200,0.00,0.000,2016-01-06,24
2016010625,39.42,965.150,0.00,0.000,2016-01-06,25
2016010626,38.26,1126.050,0.00,0.000,2016-01-06,26
2016010627,37.34,1020.900,0.00,0.000,2016-01-06,27
2016010628,36.98,1061.450,0.00,0.000,2016-01-06,28
2016010629,36.36,1157.450,0.00,0.000,2016-01-06,29
2016010630,36.70,1049.400,0.00,0.000,2016-01-06,30
2016010631,41.18,1138.400,0.00,0.000,2016-01-06,31
2016010632,42.13,1009.850,0.00,0.000,2016-01-06,32
2016010633,43.25,1003.450,0.00,0.000,2016-01-06,33
2016010634,49.50,1204.100,0.00,0.000,2016-01-06,34
2016010635,51.98,1146.950,0.00,0.000,2016-01-06,35
2016010636,52.52,1197.300,0.00,0.000,2016-01-06,36
2016010637,48.98,1315.000,0.00,0.000,2016-01-06,37
2016010638,44.09,1320.800,0.00,0.000,2016-01-06,38
2016010639,42.01,2331.250,0.00,0.000,2016-01-06,39
2016010640,38.74,1674.300,0.00,0.000,2016-01-06,40
2016010641,38.49,1869.850,0.00,0.000,2016-01-06,41
2016010642,38.28,2068.900,0.00,0.000,2016-01-06,42
2016010643,35.08,1367.800,0.00,0.000,2016-01-06,43
2016010644,34.85,1117.100,0.00,0.000,2016-01-06,44
2016010645,34.51,1403.150,0.00,0.000,2016-01-06,45
2016010646,33.31,1809.600,0.00,0.000,2016-01-06,46
2016010647,32.13,1046.500,0.00,0.000,2016-01-06,47
2016010648,30.99,680.150,0.00,0.000,2016-01-06,48
2016010701,30.93,398.600,0.00,0.000,2016-01-07,1
2016010702,36.54,415.450,0.00,0.000,2016-01-07,2
2016010703,36.16,346.150,0.00,0.000,2016-01-07,3
2016010704,33.74,327.150,0.00,0.000,2016-01-07,4
2016010705,34.41,489.650,0.00,0.000,2016-01-07,5
2016010706,33.23,563.700,0.00,0.000,2016-01-07,6
2016010707,28.11,620.700,0.00,0.000,2016-01-07,7
2016010708,20.80,560.700,0.00,0.000,2016-01-07,8
2016010709,16.20,634.200,0.00,0.000,2016-01-07,9
2016010710,17.47,628.600,0.00,0.000,2016-01-07,10
2016010711,25.16,592.000,0.00,0.000,2016-01-07,11
2016010712,27.38,585.700,0.00,0.000,2016-01-07,12
2016010713,33.35,867.500,0.00,0.000,2016-01-07,13
2016010714,29.70,917.750,0.00,0.000,2016-01-07,14
2016010715,32.01,740.950,0.00,0.000,2016-01-07,15
2016010716,32.63,611.250,0.00,0.000,2016-01-07,16
2016010717,34.60,538.250,0.00,0.000,2016-01-07,17
2016010718,29.40,573.500,0.00,0.000,2016-01-07,18
2016010719,34.76,681.450,0.00,0.000,2016-01-07,19
2016010720,35.33,738.050,0.00,0.000,2016-01-07,20
2016010721,36.20,812.400,0.00,0.000,2016-01-07,21
2016010722,37.43,893.850,0.00,0.000,2016-01-07,22
2016010723,38.18,899.350,0.00,0.000,2016-01-07,23
2016010724,39.48,1038.400,0.00,0.000,2016-01-07,24
2016010725,39.10,947.400,0.00,0.000,2016-01-07,25
2016010726,39.20,940.900,0.00,0.000,2016-01-07,26
2016010727,39.86,1093.150,0.00,0.000,2016-01-07,27
2016010728,39.37,1062.950,0.00,0.000,2016-01-07,28
2016010729,39.30,1102.450,0.00,0.000,2016-01-07,29
2016010730,38.95,1111.950,0.00,0.000,2016-01-07,30
2016010731,43.72,1492.650,0.00,0.000,2016-01-07,31
2016010732,43.86,1286.750,0.00,0.000,2016-01-07,32
2016010733,44.44,1250.650,0.00,0.000,2016-01-07,33
2016010734,50.76,1364.300,0.00,0.000,2016-01-07,34
2016010735,51.63,1532.950,0.00,0.000,2016-01-07,35
2016010736,49.94,1646.850,0.00,0.000,2016-01-07,36
2016010737,48.33,1621.650,0.00,0.000,2016-01-07,37
2016010738,47.40,1719.100,0.00,0.000,2016-01-07,38
2016010739,37.04,1439.700,0.00,0.000,2016-01-07,39
2016010740,37.01,1016.600,0.00,0.000,2016-01-07,40
2016010741,37.01,920.050,0.00,0.000,2016-01-07,41
2016010742,35.77,1209.250,0.00,0.000,2016-01-07,42
2016010743,33.18,1450.300,0.00,0.000,2016-01-07,43
2016010744,33.06,1821.700,0.00,0.000,2016-01-07,44
2016010745,32.36,1551.350,0.00,0.000,2016-01-07,45
2016010746,31.07,2563.850,0.00,0.000,2016-01-07,46
2016010747,28.70,843.350,0.00,0.000,2016-01-07,47
2016010748,27.46,623.400,0.00,0.000,2016-01-07,48
2016010801,28.80,525.500,0.00,0.000,2016-01-08,1
2016010802,31.15,679.800,0.00,0.000,2016-01-08,2
2016010803,33.29,386.350,0.00,0.000,2016-01-08,3
2016010804,32.70,436.200,0.00,0.000,2016-01-08,4
2016010805,32.91,547.500,0.00,0.000,2016-01-08,5
2016010806,32.59,476.000,0.00,0.000,2016-01-08,6
2016010807,34.54,360.550,0.00,0.000,2016-01-08,7
2016010808,32.92,245.000,0.00,0.000,2016-01-08,8
2016010809,33.34,269.500,0.00,0.000,2016-01-08,9
