,buyPriceAdjustment,indicativeNetImbalanceVolume,reserveScarcityPrice,sellPriceAdjustment,settlementDate,settlementPeriod,systemBuyPrice,systemSellPrice
2016010329,0.00,403.8506,NULL,0.00,2016-01-03,29,42.65030,42.65030
2016010330,0.00,600.3565,NULL,0.00,2016-01-03,30,44.59961,44.59961
2016010331,0.00,310.3514,NULL,0.00,2016-01-03,31,44.00000,44.00000
2016010332,2.40,-142.3816,NULL,0.00,2016-01-03,32,31.60000,31.60000
2016010333,2.40,-197.3304,0.00000,0.00,2016-01-03,33,31.60000,31.60000
2016010334,2.40,-147.7357,0.00000,0.00,2016-01-03,34,31.60000,31.60000
2016010335,2.40,264.5039,0.00000,0.00,2016-01-03,35,53.91221,53.91221
2016010336,2.40,279.0331,0.00000,0.00,2016-01-03,36,54.40000,54.40000
2016010337,2.40,167.4126,0.00000,0.00,2016-01-03,37,49.23851,49.23851
2016010338,2.40,218.7262,0.00000,0.00,2016-01-03,38,50.24640,50.24640
2016010339,0.00,310.8946,0.00000,0.00,2016-01-03,39,47.46254,47.46254
2016010340,0.00,309.8500,0.00000,0.00,2016-01-03,40,47.30000,47.30000
2016010341,0.00,227.6206,0.00000,0.00,2016-01-03,41,46.00000,46.00000
2016010342,0.00,300.6071,NULL,0.00,2016-01-03,42,45.04361,45.04361
2016010343,0.00,233.6934,NULL,0.00,2016-01-03,43,44.00000,44.00000
2016010344,0.00,60.6262,NULL,0.00,2016-01-03,44,44.00000,44.00000
2016010345,0.00,98.9389,NULL,0.00,2016-01-03,45,44.00000,44.00000
2016010346,0.00,-93.2815,NULL,0.00,2016-01-03,46,32.94000,32.94000
2016010347,0.00,-59.8155,NULL,0.00,2016-01-03,47,32.94000,32.94000
2016010348,0.00,-392.7967,NULL,0.00,2016-01-03,48,20.20152,20.20152
2016010401,0.00,-412.2325,NULL,0.00,2016-01-04,1,14.60000,14.60000
2016010402,0.00,-262.9877,NULL,0.00,2016-01-04,2,31.60000,31.60000
2016010403,0.00,-259.0470,NULL,0.00,2016-01-04,3,31.60000,31.60000
2016010404,0.00,-230.6139,NULL,0.00,2016-01-04,4,31.71263,31.71263
2016010405,0.00,-118.2049,NULL,0.00,2016-01-04,5,32.67057,32.67057
2016010406,0.00,-329.6221,NULL,0.00,2016-01-04,6,26.82996,26.82996
