,settlementPeriod,settlementDate,APXPrice,APXVolume
2016010744,44,1/7/2016,39.02,6237.7
2016010745,45,1/7/2016,35.46,5863.5
2016010746,46,1/7/2016,35.46,5863.5
2016010847,47,1/8/2016,30.56,5135.6
2016010848,48,1/8/2016,30.56,5135.6
2016010801,1,1/8/2016,30.52,4978.3
2016010802,2,1/8/2016,30.52,4978.3
2016010803,3,1/8/2016,30.58,4910.9
2016010804,4,1/8/2016,30.58,4910.9
2016010805,5,1/8/2016,30.5,5041.3
2016010806,6,1/8/2016,30.5,5041.3
2016010807,7,1/8/2016,30.53,4793.6
2016010808,8,1/8/2016,30.53,4793.6
2016010809,9,1/8/2016,30.1,4771.5
2016010810,10,1/8/2016,30.1,4771.5
2016010811,11,1/8/2016,30.72,5097.8
2016010812,12,1/8/2016,30.72,5097.8
2016010813,13,1/8/2016,37.54,5773.4
2016010814,14,1/8/2016,37.54,5773.4
2016010815,15,1/8/2016,35.42,6816.2
2016010816,16,1/8/2016,35.42,6816.2
2016010817,17,1/8/2016,42.06,6625.6
2016010818,18,1/8/2016,42.06,6625.6
2016010819,19,1/8/2016,39,6341.8
2016010820,20,1/8/2016,39,6341.8
2016010821,21,1/8/2016,38.96,6279.1
2016010822,22,1/8/2016,38.96,6279.1
2016010823,23,1/8/2016,38.13,6202.3
2016010824,24,1/8/2016,38.13,6202.3
2016010825,25,1/8/2016,38.98,6253.3
2016010826,26,1/8/2016,38.98,6253.3
2016010827,27,1/8/2016,38.95,6288.5
2016010828,28,1/8/2016,38.95,6288.5
2016010829,29,1/8/2016,38,6380.8
2016010830,30,1/8/2016,38,6380.8
2016010831,31,1/8/2016,30.67,7793.1
2016010832,32,1/8/2016,30.67,7793.1
2016010833,33,1/8/2016,47.03,6453.4
2016010834,34,1/8/2016,47.03,6453.4
2016010835,35,1/8/2016,81,6470.2
2016010836,36,1/8/2016,81,6470.2
2016010837,37,1/8/2016,50,6658
2016010838,38,1/8/2016,50,6658
2016010839,39,1/8/2016,47.1,6014.4
2016010840,40,1/8/2016,47.1,6014.4
2016010841,41,1/8/2016,35.94,6451.7
2016010842,42,1/8/2016,35.94,6451.7
2016010843,43,1/8/2016,36.54,6313.4
2016010844,44,1/8/2016,36.54,6313.4
2016010845,45,1/8/2016,36.51,5896.5
2016010846,46,1/8/2016,36.51,5896.5
2016010947,47,1/9/2016,41.03,6124.7
2016010948,48,1/9/2016,41.03,6124.7
2016010901,1,1/9/2016,41.02,6063.2
2016010902,2,1/9/2016,41.02,6063.2
2016010903,3,1/9/2016,41.04,6034.9
2016010904,4,1/9/2016,41.04,6034.9
2016010905,5,1/9/2016,32.82,6083.5
2016010906,6,1/9/2016,32.82,6083.5
2016010907,7,1/9/2016,31.01,6034.5
2016010908,8,1/9/2016,31.01,6034.5
2016010909,9,1/9/2016,27.54,6032.5
2016010910,10,1/9/2016,27.54,6032.5
2016010911,11,1/9/2016,27.41,6090.5
2016010912,12,1/9/2016,27.41,6090.5
2016010913,13,1/9/2016,30.57,6422.9
2016010914,14,1/9/2016,30.57,6422.9
2016010915,15,1/9/2016,30.19,6281.3
2016010916,16,1/9/2016,30.19,6281.3
