,quantity,settlementDate,settlementPeriod
2016010818,3242,2016-01-08,18
2016010817,3167,2016-01-08,17
2016010816,3072,2016-01-08,16
2016010815,3042,2016-01-08,15
2016010814,2976,2016-01-08,14
2016010813,2968,2016-01-08,13
2016010812,2960,2016-01-08,12
2016010811,2975,2016-01-08,11
2016010810,2980,2016-01-08,10
2016010809,2996,2016-01-08,9
2016010808,3011,2016-01-08,8
2016010807,3028,2016-01-08,7
2016010806,3042,2016-01-08,6
2016010805,3085,2016-01-08,5
2016010804,3132,2016-01-08,4
2016010803,3186,2016-01-08,3
2016010802,3246,2016-01-08,2
2016010801,3315,2016-01-08,1
2016010948,3416,2016-01-09,48
2016010947,3427,2016-01-09,47
2016010946,3472,2016-01-09,46
2016010945,3486,2016-01-09,45
2016010944,3511,2016-01-09,44
2016010943,3525,2016-01-09,43
2016010942,3567,2016-01-09,42
2016010941,3595,2016-01-09,41
2016010940,3655,2016-01-09,40
2016010939,3710,2016-01-09,39
2016010938,3833,2016-01-09,38
2016010937,3931,2016-01-09,37
2016010936,4009,2016-01-09,36
2016010935,4036,2016-01-09,35
2016010934,3975,2016-01-09,34
2016010933,3877,2016-01-09,33
2016010932,3853,2016-01-09,32
2016010931,3919,2016-01-09,31
2016010930,3997,2016-01-09,30
2016010929,4073,2016-01-09,29
2016010928,4173,2016-01-09,28
2016010927,4253,2016-01-09,27
2016010926,4328,2016-01-09,26
2016010925,4302,2016-01-09,25
2016010924,4277,2016-01-09,24
2016010923,4167,2016-01-09,23
2016010922,4051,2016-01-09,22
2016010921,3895,2016-01-09,21
2016010920,3725,2016-01-09,20
2016010919,3638,2016-01-09,19
2016010918,3519,2016-01-09,18
2016010917,3431,2016-01-09,17
2016010916,3324,2016-01-09,16
2016010915,3252,2016-01-09,15
2016010914,3144,2016-01-09,14
2016010913,3088,2016-01-09,13
2016010912,3032,2016-01-09,12
2016010911,3004,2016-01-09,11
2016010910,2965,2016-01-09,10
2016010909,2935,2016-01-09,9
2016010908,2905,2016-01-09,8
2016010907,2884,2016-01-09,7
2016010906,2860,2016-01-09,6
2016010905,2847,2016-01-09,5
2016010904,2838,2016-01-09,4
2016010903,2832,2016-01-09,3
2016010902,2832,2016-01-09,2
2016010901,2829,2016-01-09,1
2016011048,31705,2016-01-10,48
2016011047,33338,2016-01-10,47
2016011046,36461,2016-01-10,46
2016011045,38517,2016-01-10,45
2016011044,39377,2016-01-10,44
2016011043,39867,2016-01-10,43
2016011042,41063,2016-01-10,42
2016011041,42263,2016-01-10,41
2016011040,43792,2016-01-10,40
2016011039,45694,2016-01-10,39
2016011038,47290,2016-01-10,38
2016011037,47664,2016-01-10,37
2016011036,47784,2016-01-10,36
2016011035,47813,2016-01-10,35
2016011034,47202,2016-01-10,34
2016011033,46394,2016-01-10,33
2016011032,44865,2016-01-10,32
2016011031,43756,2016-01-10,31
2016011030,42812,2016-01-10,30
2016011029,42418,2016-01-10,29
2016011028,42391,2016-01-10,28
2016011027,42522,2016-01-10,27
2016011026,42672,2016-01-10,26
2016011025,42649,2016-01-10,25
2016011024,42587,2016-01-10,24
2016011023,42356,2016-01-10,23
2016011022,40833,2016-01-10,22
2016011021,39276,2016-01-10,21
2016011020,38044,2016-01-10,20
2016011019,36834,2016-01-10,19
2016011018,35500,2016-01-10,18
2016011017,34381,2016-01-10,17
2016011016,33519,2016-01-10,16
2016011015,32675,2016-01-10,15
2016011014,31028,2016-01-10,14
2016011013,29493,2016-01-10,13
2016011012,29117,2016-01-10,12
2016011011,29132,2016-01-10,11
2016011010,29138,2016-01-10,10
2016011009,29132,2016-01-10,9
2016011008,29124,2016-01-10,8
2016011007,29244,2016-01-10,7
2016011006,29465,2016-01-10,6
2016011005,29386,2016-01-10,5
2016011004,29603,2016-01-10,4
2016011003,29657,2016-01-10,3
2016011002,29583,2016-01-10,2
2016011001,29525,2016-01-10,1
2016011148,29688,2016-01-11,48
2016011147,34759,2016-01-11,47
2016011146,41407,2016-01-11,46
2016011145,43431,2016-01-11,45
2016011144,44629,2016-01-11,44
2016011143,45390,2016-01-11,43
2016011142,46308,2016-01-11,42
2016011141,47177,2016-01-11,41
2016011140,48783,2016-01-11,40
2016011139,50974,2016-01-11,39
2016011138,52623,2016-01-11,38
2016011137,53128,2016-01-11,37
2016011136,53162,2016-01-11,36
2016011135,53008,2016-01-11,35
2016011134,52450,2016-01-11,34
2016011133,51868,2016-01-11,33
2016011132,50906,2016-01-11,32
2016011131,49832,2016-01-11,31
2016011130,48863,2016-01-11,30
2016011129,48333,2016-01-11,29
2016011128,48491,2016-01-11,28
2016011127,48591,2016-01-11,27
2016011126,48740,2016-01-11,26
2016011125,48776,2016-01-11,25
2016011124,49007,2016-01-11,24
2016011123,49060,2016-01-11,23
2016011122,49094,2016-01-11,22
2016011121,48976,2016-01-11,21
2016011120,48508,2016-01-11,20
2016011119,48133,2016-01-11,19
2016011118,47075,2016-01-11,18
2016011117,46113,2016-01-11,17
2016011116,45017,2016-01-11,16
2016011115,43645,2016-01-11,15
2016011114,38692,2016-01-11,14
2016011113,33368,2016-01-11,13
2016011112,31298,2016-01-11,12
2016011111,30333,2016-01-11,11
2016011110,29532,2016-01-11,10
2016011109,29582,2016-01-11,9
2016011108,29649,2016-01-11,8
2016011107,29748,2016-01-11,7
2016011106,30206,2016-01-11,6
2016011105,30143,2016-01-11,5
2016011104,30380,2016-01-11,4
2016011103,30463,2016-01-11,3
2016011102,30556,2016-01-11,2
2016011101,30630,2016-01-11,1
2016011248,31127,2016-01-12,48
2016011247,34169,2016-01-12,47
2016011246,39698,2016-01-12,46
2016011245,41659,2016-01-12,45
2016011244,42630,2016-01-12,44
2016011243,44264,2016-01-12,43
2016011242,46375,2016-01-12,42
2016011241,48158,2016-01-12,41
2016011240,49731,2016-01-12,40
2016011239,50952,2016-01-12,39
2016011238,52378,2016-01-12,38
2016011237,52928,2016-01-12,37
2016011236,53215,2016-01-12,36
2016011235,53086,2016-01-12,35
2016011234,52287,2016-01-12,34
2016011233,51191,2016-01-12,33
2016011232,50002,2016-01-12,32
2016011231,48866,2016-01-12,31
2016011230,47991,2016-01-12,30
2016011229,47841,2016-01-12,29
2016011228,48187,2016-01-12,28
2016011227,48311,2016-01-12,27
2016011226,48196,2016-01-12,26
2016011225,48086,2016-01-12,25
2016011224,48056,2016-01-12,24
2016011223,47934,2016-01-12,23
2016011222,47695,2016-01-12,22
2016011221,47399,2016-01-12,21
2016011220,47114,2016-01-12,20
2016011219,46846,2016-01-12,19
2016011218,46447,2016-01-12,18
2016011217,45984,2016-01-12,17
2016011216,44968,2016-01-12,16
2016011215,43104,2016-01-12,15
2016011214,38181,2016-01-12,14
2016011213,34867,2016-01-12,13
2016011212,33061,2016-01-12,12
2016011211,32041,2016-01-12,11
2016011210,31511,2016-01-12,10
2016011209,31144,2016-01-12,9
2016011208,30950,2016-01-12,8
2016011207,30857,2016-01-12,7
2016011206,31118,2016-01-12,6
2016011205,31165,2016-01-12,5
2016011204,31067,2016-01-12,4
2016011203,31239,2016-01-12,3
2016011202,31119,2016-01-12,2
2016011201,31287,2016-01-12,1
2016011348,30591,2016-01-13,48
2016011347,34247,2016-01-13,47
2016011346,39982,2016-01-13,46
2016011345,42011,2016-01-13,45
2016011344,43849,2016-01-13,44
2016011343,45241,2016-01-13,43
2016011342,46870,2016-01-13,42
2016011341,48529,2016-01-13,41
2016011340,49770,2016-01-13,40
2016011339,50545,2016-01-13,39
2016011338,51308,2016-01-13,38
2016011337,51326,2016-01-13,37
2016011336,51372,2016-01-13,36
2016011335,51397,2016-01-13,35
2016011334,50950,2016-01-13,34
2016011333,50529,2016-01-13,33
