,drm2HourForecast,lolp1HourForecast,settlementDate,settlementPeriod
2016010406,21781.2600000,0.000000000,2016-01-04,6
2016010407,21947.8800000,0.000000000,2016-01-04,7
2016010408,22673.7000000,0.000000000,2016-01-04,8
2016010409,23324.7970000,0.000000000,2016-01-04,9
2016010410,24123.1760000,0.000000000,2016-01-04,10
2016010411,24113.6000000,0.000000000,2016-01-04,11
2016010412,23862.0920000,0.000000000,2016-01-04,12
2016010413,24608.0530000,0.000000000,2016-01-04,13
2016010414,23109.1100000,0.000000000,2016-01-04,14
2016010415,20881.0640000,0.000000000,2016-01-04,15
2016010416,16957.4570000,0.000000000,2016-01-04,16
2016010417,14913.3780000,0.000000000,2016-01-04,17
2016010418,12721.2090000,0.000000000,2016-01-04,18
2016010419,12221.4490000,0.000000000,2016-01-04,19
2016010420,10801.7150000,0.000000000,2016-01-04,20
2016010421,10242.6840000,0.000000000,2016-01-04,21
2016010422,10640.6060000,0.000000000,2016-01-04,22
2016010423,10374.8370000,0.000000000,2016-01-04,23
2016010424,9847.2370000,0.000000000,2016-01-04,24
2016010425,9695.5710000,0.000000000,2016-01-04,25
2016010426,8494.0820000,0.000000000,2016-01-04,26
2016010427,8094.4970000,0.000000000,2016-01-04,27
2016010428,9056.4170000,0.000000000,2016-01-04,28
2016010429,9044.4800000,0.000000000,2016-01-04,29
2016010430,9211.8570000,0.000000000,2016-01-04,30
2016010431,10314.1060000,0.000000000,2016-01-04,31
2016010432,10086.5280000,0.000000000,2016-01-04,32
2016010433,9463.7910000,0.000000000,2016-01-04,33
2016010434,7667.1636000,0.000000000,2016-01-04,34
2016010435,6736.1980000,0.000000000,2016-01-04,35
2016010436,5451.1226000,0.000000000,2016-01-04,36
2016010437,6668.0034000,0.000000000,2016-01-04,37
2016010438,6625.7920000,0.000000000,2016-01-04,38
2016010439,7395.3290000,0.000000000,2016-01-04,39
2016010440,7530.3590000,0.000000000,2016-01-04,40
2016010441,8324.2760000,0.000000000,2016-01-04,41
2016010442,9922.9970000,0.000000000,2016-01-04,42
2016010443,11364.4610000,0.000000000,2016-01-04,43
2016010444,12768.4550000,0.000000000,2016-01-04,44
2016010445,15880.1720000,0.000000000,2016-01-04,45
2016010446,17531.0780000,0.000000000,2016-01-04,46
2016010447,19473.4180000,0.000000000,2016-01-04,47
2016010448,22519.7620000,0.000000000,2016-01-04,48
2016010501,24527.2230000,0.000000000,2016-01-05,1
2016010502,25082.7300000,0.000000000,2016-01-05,2
2016010503,24749.6150000,0.000000000,2016-01-05,3
2016010504,24888.3030000,0.000000000,2016-01-05,4
2016010505,25600.6900000,0.000000000,2016-01-05,5
2016010506,26695.3480000,0.000000000,2016-01-05,6
2016010507,26595.6400000,0.000000000,2016-01-05,7
2016010508,26990.2580000,0.000000000,2016-01-05,8
2016010509,27559.4530000,0.000000000,2016-01-05,9
2016010510,28067.9790000,0.000000000,2016-01-05,10
2016010511,27547.7990000,0.000000000,2016-01-05,11
2016010512,26941.6050000,0.000000000,2016-01-05,12
2016010513,25904.4180000,0.000000000,2016-01-05,13
2016010514,23523.9590000,0.000000000,2016-01-05,14
2016010515,20280.2250000,0.000000000,2016-01-05,15
2016010516,15743.6250000,0.000000000,2016-01-05,16
2016010517,12705.6490000,0.000000000,2016-01-05,17
2016010518,11864.1890000,0.000000000,2016-01-05,18
2016010519,11903.7070000,0.000000000,2016-01-05,19
2016010520,11136.7430000,0.000000000,2016-01-05,20
2016010521,10238.5160000,0.000000000,2016-01-05,21
2016010522,9290.9880000,0.000000000,2016-01-05,22
2016010523,8776.3220000,0.000000000,2016-01-05,23
2016010524,9316.6290000,0.000000000,2016-01-05,24
2016010525,7597.5250000,0.000000000,2016-01-05,25
2016010526,7629.7056000,0.000000000,2016-01-05,26
2016010527,7859.9430000,0.000000000,2016-01-05,27
2016010528,7729.6630000,0.000000000,2016-01-05,28
2016010529,7139.9760000,0.000000000,2016-01-05,29
2016010530,7631.0870000,0.000000000,2016-01-05,30
2016010531,8206.4550000,0.000000000,2016-01-05,31
2016010532,9463.1820000,0.000000000,2016-01-05,32
2016010533,8560.6470000,0.000000000,2016-01-05,33
2016010534,6772.0400000,0.000000000,2016-01-05,34
2016010535,4471.6143000,0.000000000,2016-01-05,35
2016010536,3404.9592000,0.000007900,2016-01-05,36
2016010537,4194.8170000,0.000000000,2016-01-05,37
2016010538,4239.8145000,0.000000000,2016-01-05,38
2016010539,4006.9915000,0.000000100,2016-01-05,39
2016010540,4713.5547000,0.000000000,2016-01-05,40
2016010541,4524.8306000,0.000000000,2016-01-05,41
2016010542,5534.9320000,0.000000000,2016-01-05,42
2016010543,7172.3820000,0.000000000,2016-01-05,43
2016010544,8274.4310000,0.000000000,2016-01-05,44
2016010545,10084.0190000,0.000000000,2016-01-05,45
2016010546,13387.1620000,0.000000000,2016-01-05,46
2016010547,15415.3950000,0.000000000,2016-01-05,47
2016010548,20171.5230000,0.000000000,2016-01-05,48
2016010601,21935.7870000,0.000000000,2016-01-06,1
2016010602,22441.7750000,0.000000000,2016-01-06,2
2016010603,22265.3120000,0.000000000,2016-01-06,3
2016010604,22464.2270000,0.000000000,2016-01-06,4
2016010605,23194.6580000,0.000000000,2016-01-06,5
2016010606,23021.4400000,0.000000000,2016-01-06,6
2016010607,23196.0720000,0.000000000,2016-01-06,7
2016010608,23562.3790000,0.000000000,2016-01-06,8
2016010609,24297.6270000,0.000000000,2016-01-06,9
2016010610,24635.3070000,0.000000000,2016-01-06,10
2016010611,24091.3570000,0.000000000,2016-01-06,11
2016010612,23233.4430000,0.000000000,2016-01-06,12
2016010613,22915.2520000,0.000000000,2016-01-06,13
2016010614,20543.0590000,0.000000000,2016-01-06,14
2016010615,17711.1210000,0.000000000,2016-01-06,15
2016010616,13402.7920000,0.000000000,2016-01-06,16
2016010617,9697.6310000,0.000000000,2016-01-06,17
2016010618,8754.7900000,0.000000000,2016-01-06,18
2016010619,8786.9420000,0.000000000,2016-01-06,19
2016010620,8173.1270000,0.000000000,2016-01-06,20
2016010621,7967.6930000,0.000000000,2016-01-06,21
2016010622,7373.9370000,0.000000000,2016-01-06,22
2016010623,6999.8660000,0.000000000,2016-01-06,23
2016010624,7067.9050000,0.000000000,2016-01-06,24
2016010625,6779.6390000,0.000000000,2016-01-06,25
2016010626,6103.8433000,0.000000000,2016-01-06,26
2016010627,5670.0146000,0.000000000,2016-01-06,27
2016010628,5404.1660000,0.000000000,2016-01-06,28
2016010629,5792.1640000,0.000000000,2016-01-06,29
2016010630,5569.1000000,0.000000000,2016-01-06,30
2016010631,5934.7790000,0.000000000,2016-01-06,31
2016010632,6609.1090000,0.000000000,2016-01-06,32
2016010633,6555.8315000,0.000000000,2016-01-06,33
2016010634,4685.8400000,0.000000000,2016-01-06,34
2016010635,3374.4565000,0.000000400,2016-01-06,35
2016010636,2697.4958000,0.000012100,2016-01-06,36
2016010637,2769.8835000,0.000011500,2016-01-06,37
2016010638,3722.3345000,0.000000000,2016-01-06,38
2016010639,4649.8037000,0.000000000,2016-01-06,39
2016010640,5800.1987000,0.000000000,2016-01-06,40
2016010641,6595.5054000,0.000000000,2016-01-06,41
2016010642,7805.0010000,0.000000000,2016-01-06,42
2016010643,9537.7600000,0.000000000,2016-01-06,43
2016010644,11093.3760000,0.000000000,2016-01-06,44
2016010645,14162.4690000,0.000000000,2016-01-06,45
2016010646,16945.3790000,0.000000000,2016-01-06,46
2016010647,19768.8790000,0.000000000,2016-01-06,47
2016010648,23250.1680000,0.000000000,2016-01-06,48
2016010701,25177.6800000,0.000000000,2016-01-07,1
2016010702,25709.9730000,0.000000000,2016-01-07,2
2016010703,25555.4080000,0.000000000,2016-01-07,3
2016010704,25973.0720000,0.000000000,2016-01-07,4
2016010705,26474.8710000,0.000000000,2016-01-07,5
2016010706,27215.6600000,0.000000000,2016-01-07,6
2016010707,27857.6860000,0.000000000,2016-01-07,7
2016010708,28495.3440000,0.000000000,2016-01-07,8
2016010709,29041.3100000,0.000000000,2016-01-07,9
2016010710,28915.1680000,0.000000000,2016-01-07,10
2016010711,28580.8420000,0.000000000,2016-01-07,11
2016010712,27677.3930000,0.000000000,2016-01-07,12
2016010713,27298.7810000,0.000000000,2016-01-07,13
