,TSDF,settlementDate,settlementPeriod
2016011105,29364,1/11/2016,5
2016011106,29362,1/11/2016,6
2016011107,28874,1/11/2016,7
2016011108,28411,1/11/2016,8
2016011109,28145,1/11/2016,9
2016011110,27852,1/11/2016,10
2016011111,27962,1/11/2016,11
2016011112,28737,1/11/2016,12
2016011113,31278,1/11/2016,13
2016011114,35177,1/11/2016,14
2016011115,39627,1/11/2016,15
2016011116,42320,1/11/2016,16
2016011117,43101,1/11/2016,17
2016011118,43210,1/11/2016,18
2016011119,44215,1/11/2016,19
2016011120,44950,1/11/2016,20
2016011121,44858,1/11/2016,21
2016011122,44679,1/11/2016,22
2016011123,44671,1/11/2016,23
2016011124,44547,1/11/2016,24
2016011125,44629,1/11/2016,25
2016011126,45054,1/11/2016,26
2016011127,45090,1/11/2016,27
2016011128,45053,1/11/2016,28
2016011129,45273,1/11/2016,29
2016011130,45318,1/11/2016,30
2016011131,45537,1/11/2016,31
2016011132,46627,1/11/2016,32
2016011133,48265,1/11/2016,33
2016011134,50066,1/11/2016,34
2016011135,50178,1/11/2016,35
2016011136,49937,1/11/2016,36
2016011137,49980,1/11/2016,37
2016011138,49620,1/11/2016,38
2016011139,48346,1/11/2016,39
2016011140,47050,1/11/2016,40
2016011141,45692,1/11/2016,41
2016011142,43677,1/11/2016,42
2016011143,41667,1/11/2016,43
2016011144,39074,1/11/2016,44
2016011145,36608,1/11/2016,45
2016011146,34520,1/11/2016,46
2016011147,32182,1/11/2016,47
2016011148,30500,1/11/2016,48
2016011201,31193,1/12/2016,1
2016011202,31825,1/12/2016,2
2016011203,32214,1/12/2016,3
2016011204,30980,1/12/2016,4
2016011205,30720,1/12/2016,5
2016011206,30804,1/12/2016,6
2016011207,30531,1/12/2016,7
2016011208,29612,1/12/2016,8
2016011209,29208,1/12/2016,9
2016011210,29342,1/12/2016,10
2016011211,29957,1/12/2016,11
2016011212,30815,1/12/2016,12
2016011213,32829,1/12/2016,13
2016011214,35926,1/12/2016,14
2016011215,40120,1/12/2016,15
2016011216,42494,1/12/2016,16
2016011217,43381,1/12/2016,17
2016011218,43400,1/12/2016,18
2016011219,43979,1/12/2016,19
2016011220,44016,1/12/2016,20
2016011221,44200,1/12/2016,21
2016011222,44423,1/12/2016,22
2016011223,44482,1/12/2016,23
2016011224,43278,1/12/2016,24
2016011225,43415,1/12/2016,25
2016011226,43602,1/12/2016,26
2016011227,43582,1/12/2016,27
2016011228,43478,1/12/2016,28
2016011229,43574,1/12/2016,29
2016011230,43780,1/12/2016,30
2016011231,44085,1/12/2016,31
2016011232,45511,1/12/2016,32
2016011233,47447,1/12/2016,33
2016011234,48907,1/12/2016,34
2016011235,49725,1/12/2016,35
2016011236,49541,1/12/2016,36
2016011237,49089,1/12/2016,37
2016011238,48942,1/12/2016,38
2016011239,48186,1/12/2016,39
2016011240,46761,1/12/2016,40
2016011241,45002,1/12/2016,41
2016011242,43162,1/12/2016,42
2016011243,41141,1/12/2016,43
2016011244,38447,1/12/2016,44
2016011245,35961,1/12/2016,45
2016011246,33826,1/12/2016,46
2016011247,31334,1/12/2016,47
2016011248,29731,1/12/2016,48
2016011301,30143,1/13/2016,1
2016011302,31411,1/13/2016,2
2016011303,31596,1/13/2016,3
2016011304,31047,1/13/2016,4
2016011305,30443,1/13/2016,5
2016011306,30457,1/13/2016,6
2016011307,30206,1/13/2016,7
2016011308,29530,1/13/2016,8
2016011309,29292,1/13/2016,9
2016011310,29684,1/13/2016,10
2016011311,29979,1/13/2016,11
2016011312,31288,1/13/2016,12
2016011313,33799,1/13/2016,13
2016011314,36660,1/13/2016,14
2016011315,41137,1/13/2016,15
2016011316,43414,1/13/2016,16
2016011317,44265,1/13/2016,17
2016011318,43988,1/13/2016,18
2016011319,44450,1/13/2016,19
2016011320,44523,1/13/2016,20
2016011321,44167,1/13/2016,21
2016011322,43885,1/13/2016,22
2016011323,44045,1/13/2016,23
2016011324,44191,1/13/2016,24
2016011325,44630,1/13/2016,25
2016011326,44535,1/13/2016,26
2016011327,44503,1/13/2016,27
2016011328,44404,1/13/2016,28
2016011329,44669,1/13/2016,29
2016011330,44398,1/13/2016,30
2016011331,44439,1/13/2016,31
2016011332,45843,1/13/2016,32
2016011333,47663,1/13/2016,33
2016011334,49899,1/13/2016,34
2016011335,50633,1/13/2016,35
2016011336,50404,1/13/2016,36
2016011337,50558,1/13/2016,37
2016011338,50409,1/13/2016,38
2016011339,49181,1/13/2016,39
2016011340,47820,1/13/2016,40
2016011341,46399,1/13/2016,41
2016011342,44384,1/13/2016,42
2016011343,42329,1/13/2016,43
2016011344,40039,1/13/2016,44
2016011345,37639,1/13/2016,45
2016011346,35343,1/13/2016,46
2016011347,32941,1/13/2016,47
2016011348,31980,1/13/2016,48
2016011401,31552,1/14/2016,1
2016011402,32191,1/14/2016,2
2016011403,32380,1/14/2016,3
2016011404,32449,1/14/2016,4
2016011405,32333,1/14/2016,5
2016011406,32416,1/14/2016,6
2016011407,31957,1/14/2016,7
2016011408,31293,1/14/2016,8
2016011409,31224,1/14/2016,9
2016011410,29962,1/14/2016,10
2016011411,30379,1/14/2016,11
2016011412,30747,1/14/2016,12
2016011413,33375,1/14/2016,13
2016011414,36994,1/14/2016,14
2016011415,41402,1/14/2016,15
2016011416,43953,1/14/2016,16
2016011417,44627,1/14/2016,17
2016011418,44505,1/14/2016,18
2016011419,45050,1/14/2016,19
2016011420,45065,1/14/2016,20
2016011421,45011,1/14/2016,21
2016011422,44931,1/14/2016,22
2016011423,44719,1/14/2016,23
2016011424,44419,1/14/2016,24
2016011425,44615,1/14/2016,25
2016011426,44690,1/14/2016,26
2016011427,44655,1/14/2016,27
2016011428,44563,1/14/2016,28
2016011429,44694,1/14/2016,29
2016011430,44845,1/14/2016,30
2016011431,45282,1/14/2016,31
2016011432,46329,1/14/2016,32
2016011433,47987,1/14/2016,33
2016011434,49856,1/14/2016,34
2016011435,50166,1/14/2016,35
2016011436,49882,1/14/2016,36
2016011437,49642,1/14/2016,37
2016011438,49845,1/14/2016,38
2016011439,49272,1/14/2016,39
2016011440,48046,1/14/2016,40
2016011441,46637,1/14/2016,41
2016011442,44686,1/14/2016,42
2016011443,42509,1/14/2016,43
2016011444,40091,1/14/2016,44
2016011445,37985,1/14/2016,45
2016011446,35734,1/14/2016,46
2016011447,33226,1/14/2016,47
2016011448,30765,1/14/2016,48
2016011501,31864,1/15/2016,1
2016011502,32338,1/15/2016,2
2016011503,32770,1/15/2016,3
2016011504,32114,1/15/2016,4
2016011505,31649,1/15/2016,5
2016011506,31657,1/15/2016,6
2016011507,31493,1/15/2016,7
2016011508,31173,1/15/2016,8
2016011509,30796,1/15/2016,9
2016011510,30700,1/15/2016,10
2016011511,31224,1/15/2016,11
2016011512,31835,1/15/2016,12
2016011513,33812,1/15/2016,13
2016011514,37024,1/15/2016,14
2016011515,41452,1/15/2016,15
2016011516,43724,1/15/2016,16
2016011517,44611,1/15/2016,17
2016011518,44309,1/15/2016,18
2016011519,44799,1/15/2016,19
2016011520,44953,1/15/2016,20
2016011521,44573,1/15/2016,21
2016011522,44279,1/15/2016,22
2016011523,44250,1/15/2016,23
2016011524,43921,1/15/2016,24
2016011525,44171,1/15/2016,25
2016011526,43068,1/15/2016,26
2016011527,42852,1/15/2016,27
2016011528,42875,1/15/2016,28
2016011529,43063,1/15/2016,29
2016011530,43105,1/15/2016,30
2016011531,43322,1/15/2016,31
2016011532,44638,1/15/2016,32
