,ITSDO,settlementDate,settlementPeriod
2016011002,27775,2016-01-10,2
2016011003,27498,2016-01-10,3
2016011004,27117,2016-01-10,4
2016011005,26913,2016-01-10,5
2016011006,26758,2016-01-10,6
2016011007,26362,2016-01-10,7
2016011008,26059,2016-01-10,8
2016011009,25784,2016-01-10,9
2016011010,25543,2016-01-10,10
2016011011,25511,2016-01-10,11
2016011012,25760,2016-01-10,12
2016011013,26303,2016-01-10,13
2016011014,26479,2016-01-10,14
2016011015,26686,2016-01-10,15
2016011016,26959,2016-01-10,16
2016011017,28285,2016-01-10,17
2016011018,29891,2016-01-10,18
2016011019,31753,2016-01-10,19
2016011020,33095,2016-01-10,20
2016011021,34332,2016-01-10,21
2016011022,34993,2016-01-10,22
2016011023,35463,2016-01-10,23
2016011024,35922,2016-01-10,24
2016011025,36303,2016-01-10,25
2016011026,36417,2016-01-10,26
2016011027,36537,2016-01-10,27
2016011028,36581,2016-01-10,28
2016011029,36747,2016-01-10,29
2016011030,37141,2016-01-10,30
2016011031,38109,2016-01-10,31
2016011032,39453,2016-01-10,32
2016011033,41574,2016-01-10,33
2016011034,44328,2016-01-10,34
2016011035,45402,2016-01-10,35
2016011036,45360,2016-01-10,36
2016011037,44802,2016-01-10,37
2016011038,43781,2016-01-10,38
2016011039,42479,2016-01-10,39
2016011040,41223,2016-01-10,40
2016011041,40062,2016-01-10,41
2016011042,38324,2016-01-10,42
2016011043,37011,2016-01-10,43
2016011044,34992,2016-01-10,44
2016011045,33228,2016-01-10,45
2016011046,31411,2016-01-10,46
2016011047,29632,2016-01-10,47
2016011048,28591,2016-01-10,48
2016011101,28462,2016-01-11,1
2016011102,29335,2016-01-11,2
2016011103,29793,2016-01-11,3
2016011104,29530,2016-01-11,4
2016011105,29437,2016-01-11,5
2016011106,29374,2016-01-11,6
2016011107,29029,2016-01-11,7
2016011108,28591,2016-01-11,8
2016011109,28154,2016-01-11,9
2016011110,27992,2016-01-11,10
