,FossilGas,APXPrice,Total_RENE,TSDF
2016010640,19620.0,37.94,6664.795,44714.0
2016010641,19084.0,36.46,6883.406,43193.0
2016010642,18035.0,36.46,6883.406,41288.0
2016010643,16884.0,35.07,6882.727,39259.0
2016010644,14914.0,35.07,6882.727,36838.0
2016010645,13045.0,30.5,7371.908,34738.0
2016010646,11074.0,30.5,7371.908,32664.0
2016010647,9230.0,32.37,7872.5960000000005,30307.0
2016010648,8416.0,32.37,7872.5960000000005,29000.0
2016010701,8148.0,38.06,8029.781000000001,29302.0
2016010702,9104.0,38.06,8029.781000000001,29689.0
2016010703,9151.0,38.0,8755.127,29909.0
2016010704,8537.0,38.0,8755.127,29204.0
2016010705,7846.0,29.91,9035.821,28583.0
2016010706,8069.0,29.91,9035.821,28415.0
2016010707,7818.0,27.0,9242.84,27933.0
2016010708,7060.0,27.0,9242.84,27382.0
2016010709,6454.0,23.94,9442.051000000001,27008.0
2016010710,6410.0,23.94,9442.051000000001,27073.0
2016010711,6759.0,26.93,9589.578000000001,27489.0
2016010712,7330.0,26.93,9589.578000000001,28385.0
2016010713,7878.0,38.05,9589.407,30774.0
2016010714,9268.0,38.05,9589.407,33385.0
2016010715,11680.0,35.69,9527.964,37470.0
2016010716,13656.0,35.69,9527.964,39882.0
2016010717,15135.0,38.0,9274.894,41000.0
2016010718,15451.0,38.0,9328.894,40972.0
2016010719,15560.0,39.65,9132.447,41602.0
2016010720,15735.0,39.65,9286.447,41809.0
2016010721,16379.0,38.99,9722.395,41795.0
2016010722,16410.0,38.99,9970.395,41635.0
2016010723,16520.0,37.35,10207.164,41663.0
2016010724,16845.0,37.35,10448.164,41606.0
2016010725,17087.0,35.82,10411.688999999998,41684.0
2016010726,16975.0,35.82,10515.688999999998,41713.0
2016010727,16831.0,33.57,10366.632,41577.0
2016010728,16594.0,33.57,10291.632,41789.0
2016010729,15854.0,33.48,9956.463,42174.0
2016010730,15543.0,33.48,9760.463,42444.0
2016010731,15520.0,32.1,9598.811000000002,43047.0
2016010732,15360.0,32.1,9296.811000000002,44564.0
2016010733,16984.0,45.07,9012.688,46960.0
2016010734,18185.0,45.07,8809.688,48618.0
2016010735,19238.0,64.5,8705.661,48916.0
2016010736,19311.0,64.5,8678.661,48664.0
2016010737,19360.0,44.61,8552.762999999999,47945.0
2016010738,19402.0,44.61,8552.762999999999,47856.0
2016010739,18842.0,39.04,8627.8,47071.0
2016010740,18147.0,39.04,8627.8,45856.0
2016010741,16994.0,38.45,8488.769,44219.0
2016010742,15748.0,38.45,8488.769,41706.0
2016010743,14005.0,39.02,8271.473,39898.0
2016010744,12909.0,39.02,8271.473,37802.0
2016010745,12283.0,35.46,7963.298,35765.0
2016010746,10372.0,35.46,7963.298,33770.0
2016010747,8824.0,38.07,7532.196,31432.0
2016010748,8518.0,38.07,7532.196,29995.0
2016010801,8758.0,30.52,5905.644,28946.0
2016010802,8945.0,30.52,5905.644,29914.0
2016010803,10420.0,30.58,5382.382,30867.0
2016010804,10636.0,30.58,5382.382,30500.0
2016010805,10217.0,30.5,4862.732,29965.0
2016010806,10121.0,30.5,4862.732,29818.0
2016010807,10022.0,30.53,4420.426,29404.0
2016010808,10165.0,30.53,4420.426,28994.0
2016010809,10208.0,30.1,4305.714,28845.0
2016010810,10123.0,30.1,4305.714,28883.0
2016010811,10363.0,30.72,4225.337,29614.0
2016010812,10775.0,30.72,4225.337,30632.0
2016010813,11735.0,37.54,3939.076,33004.0
2016010814,13113.0,37.54,3939.076,35905.0
2016010815,16816.0,35.42,3863.3860000000004,40536.0
2016010816,18932.0,35.42,3863.3860000000004,42895.0
2016010817,19738.0,42.06,4037.566,43999.0
2016010818,19507.0,42.06,4111.566,44043.0
